
# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.241446  1.87411  i
 0.246987  1.75065  i
 0.252528  1.63138  i
 0.258069  1.5163  i
 0.26361  1.40541  i
 0.269151  1.2987  i
 0.274692  1.19618  i
 0.280234  1.09785  i
 0.285775  1.0037  i
 0.291316  0.913744  i
 0.296857  0.827973  i
 0.302398  0.746389  i
 0.307939  0.668992  i
 0.31348  0.595782  i
 0.319021  0.526759  i
 0.324563  0.461924  i
 0.330104  0.401276  i
 0.335645  0.344814  o
 0.341186  0.29254  o
 0.346727  0.244453  o
 0.352268  0.200554  o
 0.357809  0.160841  o
 0.36335  0.125316  o
 0.368892  0.0939776  o
 0.374433  0.0668265  o
 0.379974  0.0438625  o
 0.385515  0.0250858  o
 0.391056  0.0104961  o
 0.396597  9.36329e-05  o
 0.402138 -0.0061217  o
 0.407679 -0.00814988  o
 0.413221 -0.00599091  o
 0.418762  0.000355215  o
 0.424303  0.0108885  o
 0.429844  0.0256089  o
 0.435385  0.0445165  o
 0.440926  0.0676112  o
 0.446467  0.0948931  o
 0.452008  0.126362  o
 0.45755  0.162018  o
 0.463091  0.201862  o
 0.468632  0.245892  o
 0.474173  0.29411  o
 0.479714  0.346515  o
 0.485255  0.403107  i
 0.490796  0.463886  i
 0.496337  0.528852  i
 0.501879  0.598005  i
 0.50742  0.671346  i
 0.512961  0.748874  i
 0.518502  0.830589  i
 0.524043  0.916491  i
 0.529584  1.00658  i
 0.535125  1.10086  i
 0.540666  1.19932  i
 0.546208  1.30197  i
 0.551749  1.40881  i
 0.55729  1.51983  i
 0.562831  1.63505  i
 0.568372  1.75444  i
 0.573913  1.87803  i
 0.579454  2.0058  i
 0.584995  2.13776  i
 0.590537  2.27391  i
 0.596078  2.41425  i
 0.601619  2.55877  i
 0.60716  2.70748  i
 0.612701  2.86038  i
 0.618242  3.01746  i
 0.623783  3.17873  i
 0.629324  3.34419  i
 0.634866  3.51383  i
 0.640407  3.68767  i
 0.645948  3.86568  i
 0.651489  4.04789  i
 0.65703  4.23428  i
 0.662571  4.42487  i
 0.668112  4.61963  i
 0.673653  4.81859  i
 0.679195  5.02173  i
 0.684736  5.22906  i
 0.690277  5.44058  i
 0.695818  5.65628  i
 0.701359  5.87617  i
 0.7069  6.10025  i
 0.712441  6.32852  i
 0.717982  6.56097  i
 0.723524  6.79761  i
 0.729065  7.03843  i
 0.734606  7.28345  i
 0.740147  7.53265  i


# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.0885373  6.93291  i
 0.0954637  6.63481  i
 0.10239  6.34325  i
 0.109317  6.05824  i
 0.116243  5.77977  i
 0.123169  5.50785  i
 0.130096  5.24246  i
 0.137022  4.98362  i
 0.143949  4.73132  i
 0.150875  4.48556  i
 0.157801  4.24635  i
 0.164728  4.01367  i
 0.171654  3.78754  i
 0.178581  3.56796  i
 0.185507  3.35491  i
 0.192433  3.14841  i
 0.19936  2.94845  i
 0.206286  2.75503  i
 0.213213  2.56815  i
 0.220139  2.38782  i
 0.227065  2.21403  i
 0.233992  2.04678  i
 0.240918  1.88608  i
 0.247845  1.73191  i
 0.254771  1.58429  i
 0.261697  1.44321  i
 0.268624  1.30868  i
 0.27555  1.18068  i
 0.282477  1.05923  i
 0.289403  0.944323  i
 0.29633  0.835956  i
 0.303256  0.734132  i
 0.310182  0.638851  i
 0.317109  0.550112  i
 0.324035  0.467915  i
 0.330962  0.39226  i
 0.337888  0.323149  i
 0.344814  0.260579  i
 0.351741  0.204552  i
 0.358667  0.155067  i
 0.365594  0.112125  i
 0.37252  0.0757254  i
 0.379446  0.045868  i
 0.386373  0.0225531  i
 0.393299  0.00578059  i
 0.400226 -0.00444949  i
 0.407152 -0.00813714  i
 0.414078 -0.00528236  i
 0.421005  0.00411484  i
 0.427931  0.0200545  i
 0.434858  0.0425365  i
 0.441784  0.071561  i
 0.44871  0.107128  i
 0.455637  0.149237  i
 0.462563  0.197889  i
 0.46949  0.253083  i
 0.476416  0.31482  i
 0.483343  0.383099  i
 0.490269  0.45792  i
 0.497195  0.539284  i
 0.504122  0.62719  i
 0.511048  0.721639  i
 0.517975  0.82263  i
 0.524901  0.930164  i
 0.531827  1.04424  i
 0.538754  1.16486  i
 0.54568  1.29202  i
 0.552607  1.42572  i
 0.559533  1.56597  i
 0.566459  1.71276  i
 0.573386  1.86609  i
 0.580312  2.02596  i
 0.587239  2.19238  i
 0.594165  2.36533  i
 0.601091  2.54483  i
 0.608018  2.73088  i
 0.614944  2.92346  i
 0.621871  3.12259  i
 0.628797  3.32826  i
 0.635723  3.54047  i
 0.64265  3.75923  i
 0.649576  3.98452  i
 0.656503  4.21636  i
 0.663429  4.45475  i
 0.670356  4.69967  i
 0.677282  4.95114  i
 0.684208  5.20915  i
 0.691135  5.4737  i
 0.698061  5.74479  i
 0.704988  6.02243  i
 0.711914  6.30661  i
 0.71884  6.59733  i
 0.725767  6.89459  i
 0.732693  7.1984  i
 0.73962  7.50875  i
 0.746546  7.82564  i
 0.753472  8.14907  i
 0.760399  8.47905  i
 0.767325  8.81557  i
 0.774252  9.15863  i


# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
-0.0145009  12.14  i
-0.00584291  11.6468  i
 0.00281509  11.1637  i
 0.0114731  10.6909  i
 0.0201311  10.2283  i
 0.0287891  9.77596  i
 0.0374471  9.33382  i
 0.0461051  8.9019  i
 0.0547631  8.4802  i
 0.0634212  8.06872  i
 0.0720792  7.66747  i
 0.0807372  7.27644  i
 0.0893952  6.89563  i
 0.0980532  6.52504  i
 0.106711  6.16468  i
 0.115369  5.81454  i
